0001	1.1	子曰	0	0	0	0	0	0	0
0002	1.1	學而時習之	246	68	13	98	53	1	13
0003	1.1	不亦說乎	51	19	0	18	12	0	2
0004	1.1	有朋自遠方來	31	10	2	7	5	1	6
0005	1.1	不亦樂乎	260	55	35	53	59	14	44
0006	1.1	人不知而不慍	31	10	1	7	4	0	9
0007	1.1	不亦君子乎	107	53	6	28	16	1	3
0008	1.2	有子曰	0	0	0	0	0	0	0
0009	1.2	其為人也孝弟	54	21	5	10	16	0	2
0010	1.2	而好犯上者	48	27	2	7	9	2	1
0011	1.2	鮮矣	0	0	0	0	0	0	0
0012	1.2	不好犯上而好作亂者	42	24	0	5	10	3	0
0013	1.2	未之有也	4044	917	855	885	957	195	235
0014	1.2	君子務本	156	37	6	31	40	11	31
0015	1.2	本立而道生	237	57	25	44	52	21	38
0016	1.2	孝弟也者	134	35	6	38	45	5	5
0017	1.2	其為人之本與	4	1	0	2	1	0	0
0018	1.3	子曰	0	0	0	0	0	0	0
0019	1.3	巧言令色	1037	408	143	232	202	14	38
0020	1.3	鮮矣仁	0	0	0	0	0	0	0
0021	1.4	曾子曰	0	0	0	0	0	0	0
0022	1.4	吾日三省吾身	83	26	12	19	23	0	3
0023	1.4	為人謀而不忠乎	57	21	4	17	13	0	2
0024	1.4	與朋友交而不信乎	53	22	4	16	9	1	1
0025	1.4	傳不習乎	75	22	4	16	30	0	3
0026	1.5	子曰	0	0	0	0	0	0	0
0027	1.5	道千乘之國	94	36	5	23	26	0	4
0028	1.5	敬事而信	170	64	18	38	48	0	2
0029	1.5	節用而愛人	198	49	33	44	63	7	2
0030	1.5	使民以時	285	69	59	91	58	6	2
0031	1.6	子曰	0	0	0	0	0	0	0
0032	1.6	弟子	0	0	0	0	0	0	0
0033	1.6	入則孝	0	0	0	0	0	0	0
0034	1.6	出則悌	0	0	0	0	0	0	0
0035	1.6	謹而信	0	0	0	0	0	0	0
0036	1.6	汎愛眾而親人	1	1	0	0	0	0	0
0037	1.6	行有餘力	330	66	32	88	132	1	11
0038	1.6	則以學文	219	63	14	63	76	0	3
0039	1.7	子夏曰	0	0	0	0	0	0	0
0040	1.7	賢賢易色	141	50	6	49	31	1	4
0041	1.7	事父母	0	0	0	0	0	0	0
0042	1.7	能竭其力	137	38	14	24	41	4	16
0043	1.7	事君	0	0	0	0	0	0	0
0044	1.7	能致其身	137	45	11	29	41	1	10
0045	1.7	與朋友交	225	77	9	59	71	3	6
0046	1.7	言而有信	73	38	0	14	11	2	8
0047	1.7	雖曰未學	92	36	4	25	24	1	2
0048	1.7	吾必謂之學矣	69	32	1	22	13	0	1
0049	1.8	子曰	0	0	0	0	0	0	0
0050	1.8	君子不重則不威	101	32	5	31	24	5	4
0051	1.8	學則不固	91	32	1	27	26	0	5
0052	1.8	主忠信	0	0	0	0	0	0	0
0053	1.8	無友不如己者	65	32	0	22	9	1	1
0054	1.8	過則勿憚改	94	52	5	22	9	1	5
0055	1.9	曾子曰	0	0	0	0	0	0	0
0056	1.9	慎終	0	0	0	0	0	0	0
0057	1.9	追遠	0	0	0	0	0	0	0
0058	1.9	民德歸厚矣	44	23	3	12	2	0	4
0059	1.10	子禽問於子貢曰	0	0	0	0	0	0	0
0060	1.10	夫子至於是邦也	29	19	1	8	1	0	0
0061	1.10	必聞其政	111	45	12	22	27	1	4
0062	1.10	求之與	0	0	0	0	0	0	0
0063	1.10	抑與之與	51	22	7	11	6	0	5
